country	catering24	catering8	overnight
Kongo, Republik	62	41	215
Kongo, Demokratische Republik	70	47	190
Korea, Demokratische Volksrepublik	28	19	92
Korea, Republik	48	32	108
Kosovo	24	16	71
Kroatien	35	24	107
Kuba	46	31	228
Kuwait	56	37	241
Laos	33	22	96
Lesotho	28	19	104
Lettland	35	24	76
Libanon	59	40	123
Libyen	63	42	135
Liechtenstein	56	37	190
Litauen	26	17	109
Luxemburg	63	42	139
Madagaskar	34	23	87
Malawi	41	28	109
Malaysia	36	24	86
Malediven	52	35	170
Mali	38	25	120
Malta	46	31	114
Marokko	42	28	129
Marshall Inseln	63	42	102
Mauretanien	35	24	86
Mauritius	54	36	220
Mexiko	48	32	177
Moldau, Republik	26	17	73
Monaco	52	35	187
Mongolei	27	18	92
Montenegro	32	21	85
Mosambik	38	25	146
Myanmar	35	24	155
Namibia	30	20	112
Nepal	36	24	126
Neuseeland	56	37	153
Nicaragua	46	31	105
Niederlande	47	32	122
Niger	42	28	131
Nigeria	46	31	182
Nordmazedonien	27	18	89
Norwegen	80	53	182
Österreich	40	27	108
Oman	64	43	141
Pakistan			
–        Islamabad	23	16	238
–        im Übrigen	34	23	122
Palau	51	34	179
Panama	41	28	82
Papua-Neuguinea	59	40	159
Paraguay	38	25	108
Peru	34	23	143
Philippinen	33	22	116
Polen			
–        Breslau	33	22	117
–        Danzig	30	20	84
–        Krakau	27	18	86
–        Warschau	29	20	109
–        im Übrigen	29	20	60
Portugal	32	21	111
Ruanda	44	29	117
Rumänien			
–        Bukarest	32	21	92
–        im Übrigen	27	18	89
Russische Föderation			
–        Jekaterinburg	28	19	84
–        Moskau	30	20	110
–        St. Petersburg	26	17	114
–        im Übrigen	24	16	58
Sambia	38	25	105
Samoa	39	26	105
San Marino	34	23	79
São Tomé – Príncipe	47	32	80
Saudi-Arabien			
–        Djidda	57	38	181
–        Riad	56	37	186
–        im Übrigen	56	37	181
Schweden	66	44	140
Schweiz			
–        Genf	66	44	186
–        im Übrigen	64	43	180
Senegal	42	28	190
Serbien	27	18	97
Sierra Leone	48	32	161
Simbabwe	45	30	140
Singapur	54	36	197
Slowakische Republik	33	22	121
Slowenien	38	25	126
Spanien			
–        Barcelona	34	23	118
–        Kanarische Inseln	40	27	115
–        Madrid	40	27	118
–        Palma de Mallorca	35	24	121
–        im Übrigen	34	23	115
Sri Lanka	42	28	100
Sudan	33	22	195
Südafrika			
–        Kapstadt	33	22	130
–        Johannesburg	36	24	129
–        im Übrigen	29	20	109
Südsudan	34	23	150
Syrien	38	25	140
Tadschikistan	27	18	118
Taiwan	46	31	143
Tansania	44	29	97
Thailand	38	25	110
Togo	39	26	118
Tonga	39	26	94
Trinidad und Tobago	45	30	177
Tschad	64	43	163
Tschechische Republik	32	21	77
Türkei			
–        Istanbul	26	17	120
–        Izmir	29	20	55
–        im Übrigen	17	12	95
Tunesien	40	27	115
Turkmenistan	33	22	108
Uganda	41	28	143
Ukraine	26	17	98
Ungarn	32	21	85
Uruguay	48	32	90
Usbekistan	34	23	104
Vatikanstaat	52	35	160
Venezuela	45	30	127
Vereinigte Arabische Emirate	65	44	156
Vereinigten Staaten von Amerika			
–         Atlanta	77	52	182
–        Boston	63	42	333
–         Chicago	65	44	233
–        Houston	62	41	204
–         Los Angeles	64	43	262
–         Miami	65	44	256
–         New York City	66	44	308
–        San Francisco	59	40	327
–         Washington, D. C.	66	44	203
–        im Übrigen	59	40	182
Vereinigte Königreich Großbritannien und Nordirland			
–        London	66	44	163
–        im Übrigen	52	35	99
Vietnam	41	28	86
Weißrussland	20	13	98
Zentralafrikanische Republik	46	31	74
Zypern	42	28	125	
